prompt_id,source,model,strategy,human_semantic_diversity,human_lexical_diversity,human_syntactic_diversity,model_semantic_diversity,model_lexical_diversity,model_syntactic_diversity,cross_semantic_diversity,semantic_calibration_error,lexical_calibration_error,syntactic_calibration_error,overall_calibration_error
0,GPT2-XL_temperature_0.7,GPT2-XL,temperature_0.7,0.6893696,0.9195625209638181,1.0,0.74193615,0.8904576620019522,1.0,0.7800282,0.05256653,0.029104858961865876,0.0,0.027223795760726126
0,GPT2-XL_temperature_1.2,GPT2-XL,temperature_1.2,0.6893696,0.9195625209638181,1.0,0.56032944,0.9790752109602813,1.0,0.70114684,0.12904018,0.0595126899964632,0.0,0.06285095721109117
0,GPT2-XL_top_p_0.9,GPT2-XL,top_p_0.9,0.6893696,0.9195625209638181,1.0,0.83197284,0.9101177273016031,1.0,0.82152754,0.14260322,0.009444793662214956,0.0,0.0506826707392218
0,GPT2-XL_top_k_40,GPT2-XL,top_k_40,0.6893696,0.9195625209638181,1.0,0.7148874,0.884090279925004,1.0,0.7560208,0.025517762,0.03547224103881408,0.0,0.02033000091537333
0,GPT2-XL_typical_0.95,GPT2-XL,typical_0.95,0.6893696,0.9195625209638181,1.0,0.82248914,0.9145988224637039,1.0,0.8140148,0.13311952,0.004963698500114133,0.0,0.04602774067511739
0,Mistral-7B-Instruct_temperature_0.7,Mistral-7B-Instruct,temperature_0.7,0.6893696,0.9195625209638181,1.0,0.22925413,0.7705635369942934,0.9,0.56397665,0.4601155,0.1489989839695247,0.09999999999999998,0.23637149210447575
0,Mistral-7B-Instruct_temperature_1.2,Mistral-7B-Instruct,temperature_1.2,0.6893696,0.9195625209638181,1.0,0.3567611,0.8688568672282717,1.0,0.6129799,0.33260852,0.05070565373554636,0.0,0.12777139157339867
0,Mistral-7B-Instruct_top_p_0.9,Mistral-7B-Instruct,top_p_0.9,0.6893696,0.9195625209638181,1.0,0.2050255,0.7522271966797116,0.9,0.56896615,0.48434412,0.16733532428410647,0.09999999999999998,0.2505598163593709
0,Mistral-7B-Instruct_top_k_40,Mistral-7B-Instruct,top_k_40,0.6893696,0.9195625209638181,1.0,0.2557062,0.7950448648755278,1.0,0.57180744,0.43366343,0.12451765608829024,0.0,0.1860603613060109
0,Mistral-7B-Instruct_typical_0.95,Mistral-7B-Instruct,typical_0.95,0.6893696,0.9195625209638181,1.0,0.2256996,0.7694211956815576,0.9,0.57736725,0.46367002,0.15014132528226043,0.09999999999999998,0.23793711353911448
0,Llama-3.1-8B-Instruct_temperature_0.7,Llama-3.1-8B-Instruct,temperature_0.7,0.6893696,0.9195625209638181,1.0,0.18294823,0.7067710028872523,0.1,0.52218235,0.5064214,0.21279151807656582,0.9,0.5397376350907176
0,Llama-3.1-8B-Instruct_temperature_1.2,Llama-3.1-8B-Instruct,temperature_1.2,0.6893696,0.9195625209638181,1.0,0.2837137,0.876799252748288,0.1,0.571842,0.40565592,0.042763268215530115,0.9,0.4494730629070179
0,Llama-3.1-8B-Instruct_top_p_0.9,Llama-3.1-8B-Instruct,top_p_0.9,0.6893696,0.9195625209638181,1.0,0.19239569,0.7340477072765597,0.1,0.5075067,0.49697393,0.18551481368725842,0.9,0.5274962484922189
0,Llama-3.1-8B-Instruct_top_k_40,Llama-3.1-8B-Instruct,top_k_40,0.6893696,0.9195625209638181,1.0,0.18785262,0.7311663001837868,0.1,0.53262234,0.501517,0.18839622078003126,0.9,0.5299710728647365
0,Llama-3.1-8B-Instruct_typical_0.95,Llama-3.1-8B-Instruct,typical_0.95,0.6893696,0.9195625209638181,1.0,0.17281222,0.7329873711971855,0.1,0.5309899,0.5165574,0.1865751497666326,0.9,0.5343775150749513
0,Gemma-2B_temperature_0.7,Gemma-2B,temperature_0.7,0.6893696,0.9195625209638181,1.0,0.694937,0.8779522571457347,1.0,0.6914013,0.005567372,0.041610263818083415,0.0,0.015725878554442924
0,Gemma-2B_temperature_1.2,Gemma-2B,temperature_1.2,0.6893696,0.9195625209638181,1.0,0.70352405,0.98878930868436,1.0,0.76041645,0.014154434,0.06922678772054192,0.0,0.027793740641547826
0,Gemma-2B_top_p_0.9,Gemma-2B,top_p_0.9,0.6893696,0.9195625209638181,1.0,0.76431775,0.8911661546176384,1.0,0.72736907,0.07494813,0.028396366346179702,0.0,0.03444816612809872
0,Gemma-2B_top_k_40,Gemma-2B,top_k_40,0.6893696,0.9195625209638181,1.0,0.7233742,0.870353517873278,1.0,0.71038914,0.03400457,0.049209003090540104,0.0,0.02773785738139667
0,Gemma-2B_typical_0.95,Gemma-2B,typical_0.95,0.6893696,0.9195625209638181,1.0,0.8048949,0.8999322012115512,1.0,0.75213456,0.115525305,0.019630319752266923,0.0,0.0450518750078052
1,GPT2-XL_temperature_0.7,GPT2-XL,temperature_0.7,0.7715007,0.8857885720491665,1.0,0.68012965,0.8929425421939827,1.0,0.790213,0.09137106,0.007153970144816224,0.0,0.03284167652084694
1,GPT2-XL_temperature_1.2,GPT2-XL,temperature_1.2,0.7715007,0.8857885720491665,1.0,0.60889405,0.9698237610821393,1.0,0.79273844,0.16260666,0.0840351890329728,0.0,0.0822139485281113
1,GPT2-XL_top_p_0.9,GPT2-XL,top_p_0.9,0.7715007,0.8857885720491665,1.0,0.8200129,0.9031917647307377,1.0,0.8516226,0.04851222,0.0174031926815712,0.0,0.021971804354753877
1,GPT2-XL_top_k_40,GPT2-XL,top_k_40,0.7715007,0.8857885720491665,1.0,0.6959519,0.8770123976367081,1.0,0.7838924,0.07554883,0.00877617441245837,0.0,0.02810833402020707
1,GPT2-XL_typical_0.95,GPT2-XL,typical_0.95,0.7715007,0.8857885720491665,1.0,0.76825887,0.8904458583280219,1.0,0.818002,0.003241837,0.0046572862788554215,0.0,0.0026330411011813806
1,Mistral-7B-Instruct_temperature_0.7,Mistral-7B-Instruct,temperature_0.7,0.7715007,0.8857885720491665,1.0,0.40763223,0.8430163527381643,1.0,0.6905914,0.36386847,0.04277221931100217,0.0,0.1355468980904431
1,Mistral-7B-Instruct_temperature_1.2,Mistral-7B-Instruct,temperature_1.2,0.7715007,0.8857885720491665,1.0,0.5008242,0.9047413317960524,1.0,0.6959902,0.2706765,0.018952759746885928,0.0,0.09654308446386677
1,Mistral-7B-Instruct_top_p_0.9,Mistral-7B-Instruct,top_p_0.9,0.7715007,0.8857885720491665,1.0,0.4553851,0.8501757746588263,1.0,0.68328667,0.31611562,0.03561279739034018,0.0,0.1172428050474718
1,Mistral-7B-Instruct_top_k_40,Mistral-7B-Instruct,top_k_40,0.7715007,0.8857885720491665,1.0,0.48337048,0.8640732668898667,1.0,0.7121034,0.28813022,0.021715305159299758,0.0,0.10328184297012262
1,Mistral-7B-Instruct_typical_0.95,Mistral-7B-Instruct,typical_0.95,0.7715007,0.8857885720491665,1.0,0.43005633,0.8517133098244831,1.0,0.674822,0.34144437,0.03407526222468338,0.0,0.12517321178516058
1,Llama-3.1-8B-Instruct_temperature_0.7,Llama-3.1-8B-Instruct,temperature_0.7,0.7715007,0.8857885720491665,1.0,0.24505723,0.7357097197013094,0.1,0.6107458,0.5264435,0.15007885234785712,0.9,0.5255074445977233
1,Llama-3.1-8B-Instruct_temperature_1.2,Llama-3.1-8B-Instruct,temperature_1.2,0.7715007,0.8857885720491665,1.0,0.27677178,0.8671985914316624,0.1,0.658266,0.49472892,0.018589980617504054,0.9,0.47110630115381236
1,Llama-3.1-8B-Instruct_top_p_0.9,Llama-3.1-8B-Instruct,top_p_0.9,0.7715007,0.8857885720491665,1.0,0.2848001,0.7523676663021057,0.1,0.6106243,0.4867006,0.13342090574706078,0.9,0.5067071667240874
